Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
Adam Krumholz,WR,Wisconsin,College Stats,Jun-00,193,4.6,35.5,11,118,7.03,4.28,
Bruno Labelle,TE,Cincinnati,College Stats,4-Jun,247,4.73,36,19,123,7.36,4.43,
Trey Lance,QB,North Dakota St.,College Stats,3-Jun,224,,,,,,,San Francisco 49ers / 1st / 3rd pick / 2021
Cole Van Lanen,OL,Wisconsin,College Stats,4-Jun,305,5.11,30,22,107,7.34,4.64,Green Bay Packers / 6th / 214th pick / 2021
Nolan Laufenberg,OL,Air Force,College Stats,4-Jun,312,5.34,29.5,,105,7.7,4.77,
Trevor Lawrence,QB,Clemson,College Stats,5-Jun,213,,,,,,,Jacksonville Jaguars / 1st / 1st pick / 2021
Alex Leatherwood,OL,Alabama,College Stats,5-Jun,312,4.96,34.5,,118,,,Las Vegas Raiders / 1st / 17th pick / 2021
Richard LeCounte,DB,Georgia,College Stats,10-May,196,4.79,32.5,,128,7.44,4.49,Cleveland Browns / 5th / 169th pick / 2021
Riley Lees,WR,Northwestern,College Stats,11-May,192,4.47,35,7,119,6.78,4.16,
Deommodore Lenoir,CB,Oregon,College Stats,10-May,199,4.48,34.5,15,121,7.02,4.35,San Francisco 49ers / 5th / 172nd pick / 2021
Walker Little,OT,Stanford,College Stats,7-Jun,313,5.3,29.5,24,111,7.44,4.59,Jacksonville Jaguars / 2nd / 45th pick / 2021
Jeremiah Littles,DL,South Alabama,College Stats,Jun-00,278,5.15,26,17,98,7.9,4.87,
Roy Lopez,DL,Arizona,College Stats,1-Jun,304,5.19,31,36,105,7.39,4.51,
Isaiahh Loudermilk,DE,Wisconsin,College Stats,6-Jun,274,5.08,28.5,21,112,7.52,4.55,Pittsburgh Steelers / 5th / 156th pick / 2021
Blake Lynch,K,Kansas St.,College Stats,4-May,144,,,,,,,
Artayvious Lynn,TE,TCU,College Stats,4-Jun,271,,,,,,,
Branden Mack,WR,Temple,College Stats,5-Jun,217,4.66,31,11,115,7.13,4.37,
CJ Marable,RB,Coastal Carolina,College Stats,6-May,195,4.59,36,17,116,7.25,4.39,
Jonathan Marshall,DL,Arkansas,College Stats,3-Jun,310,4.88,32,36,114,,,
Ben Mason,TE,Michigan,College Stats,2-Jun,246,4.73,37.5,29,117,6.96,4.42,
Mac McCain,DB,North Carolina A&T,,11-May,186,4.45,35.5,13,123,6.94,4.12,
Khalil McClain,WR,Troy,College Stats,2-Jun,214,4.7,32,15,114,7.72,4.5,
Jaylon McClain-Sapp,DB,Marshall,College Stats,9-May,183,4.49,41,14,125,7.21,4.46,
Nick McCloud,CB,Notre Dame,College Stats,Jun-00,193,4.45,34,12,,6.88,4.16,
Sandon McCoy,RB,Army,College Stats,10-May,215,4.78,32,18,114,7.47,4.56,
Greg McCrae,RB,Central Florida,College Stats,9-May,182,4.57,37.5,,124,6.89,4.34,
Tre' McKitty,TE,Georgia,College Stats,4-Jun,247,,,,,,,Los Angeles Chargers / 3rd / 97th pick / 2021
Romeo McKnight,DE,Charlotte,College Stats,4-Jun,252,4.98,38,,118,7.06,4.2,
Isaiah McKoy,WR,Kent St.,College Stats,2-Jun,200,4.68,29.5,12,114,7.09,4.36,
Racey McMath,WR,LSU,College Stats,2-Jun,217,4.36,34,,124,7.38,4.38,Tennessee Titans / 6th / 205th pick / 2021
Joshua McMillon,LB,Alabama,College Stats,,,,,,,,,
Zech McPhearson,DB,Texas Tech,College Stats,10-May,191,4.48,40.5,14,130,6.88,4,
Evan McPherson,K,Florida,College Stats,11-May,185,,,,,,,
Trae Meadows,DB,Western Kentucky,College Stats,Jun-00,183,4.65,29,6,118,7.3,4.39,
Quinn Meinerz,OL,Wisconsin–Whitewater,,2-Jun,320,4.99,32,,111,7.54,4.58,Denver Broncos / 3rd / 98th pick / 2021
Ifeatu Melifonwu,DB,Syracuse,College Stats,2-Jun,205,4.48,41.5,16,134,7.01,4.34,Detroit Lions / 3rd / 101st pick / 2021
Jordan Meredith,OL,Western Kentucky,College Stats,2-Jun,302,5.11,32,25,109,7.41,4.62,
Forrest Merrill,DL,Arkansas St.,College Stats,Jun-00,322,5.27,26.5,36,101,8.24,4.81,
Scott Meyer,LS,Vanderbilt,College Stats,1-Jun,237,,,,102,7.54,4.65,
Davis Mills,QB,Stanford,College Stats,3-Jun,217,4.82,32,,110,6.95,4.4,Houston Texans / 3rd / 67th pick / 2021
Dedrick Mills,RB,Nebraska,College Stats,9-May,217,4.65,32.5,13,117,7.06,4.35,
Dax Milne,WR,BYU,College Stats,,,4.54,31,14,114,,4.19,Washington Football Team / 7th / 258th pick / 2021
Andre Mintze,LB,Vanderbilt,College Stats,2-Jun,253,4.59,,18,119,,,
Elijah Mitchell,RB,Louisiana,College Stats,10-May,201,4.38,37.5,17,128,6.94,4.19,San Francisco 49ers / 6th / 194th pick / 2021
Trevon Moehrig,S,TCU,College Stats,,,4.5,33,,,,4.19,Las Vegas Raiders / 2nd / 43rd pick / 2021
Elijah Molden,DB,Washington,College Stats,9-May,192,4.62,36.5,13,125,,,Tennessee Titans / 3rd / 100th pick / 2021
Briley Moore,TE,Kansas St.,College Stats,4-Jun,240,4.66,37.5,26,123,7.24,4.37,
Jaylon Moore,OT,West. Michigan,College Stats,4-Jun,311,5.25,30,27,106,7.77,4.67,
David Moore,QB,Central Michigan,College Stats,Jun-00,200,4.86,29.5,,112,7.62,4.75,
Elijah Moore,WR,Mississippi,College Stats,,,4.35,36,17,121,6.63,4.07,New York Jets / 2nd / 34th pick / 2021
Rondale Moore,WR,Purdue,College Stats,7-May,180,4.28,42.5,,,6.65,4.06,Arizona Cardinals / 2nd / 49th pick / 2021
Quintin Morris,TE,Bowling Green,College Stats,2-Jun,243,4.6,34,22,119,7.12,4.55,
Jimmy Morrissey,OL,Pittsburgh,College Stats,3-Jun,303,5.31,31,26,105,7.39,4.47,Las Vegas Raiders / 7th / 230th pick / 2021
E.J. Muhammad,DB,Nevada,College Stats,10-May,184,4.72,31,,116,7.35,4.4,
Israel Mukuamu,DB,South Carolina,College Stats,,,,36,34,,,,Dallas Cowboys / 6th / 227th pick / 2021
Josh Myers,C,Ohio St.,College Stats,5-Jun,310,,,29,,,,Green Bay Packers / 2nd / 62nd pick / 2021
Jonathan Nance,WR,Missouri,College Stats,,,,,,,,,
Hamsah Nasirildeen,DB,Florida St.,College Stats,3-Jun,215,,32,17,,7.05,4.31,New York Jets / 6th / 186th pick / 2021
Lorenzo Neal,DT,Purdue,College Stats,,318,5.59,,27,,,,
Ryan Neuzil,OL,Appalachian St.,College Stats,2-Jun,301,5.09,29,30,102,7.41,4.53,
Royce Newman,OL,Mississippi,College Stats,5-Jun,310,5.14,28,23,104,7.91,4.75,
Jamie Newman,QB,Georgia,College Stats,2-Jun,234,,,,,,,
Dazz Newsome,WR,North Carolina,College Stats,10-May,190,4.59,34,12,121,7.38,4.38,Chicago Bears / 6th / 221st pick / 2021
Greg Newsome,DB,Northwestern,College Stats,Jun-00,192,4.39,40,18,123,6.9,4.26,Cleveland Browns / 1st / 26th pick / 2021
Nick Niemann,LB,Iowa,College Stats,3-Jun,234,4.45,33.5,,121,6.67,4.14,
Daviyon Nixon,DT,Iowa,College Stats,3-Jun,313,4.9,28.5,,106,7.68,4.7,Carolina Panthers / 5th / 158th pick / 2021
Tre Nixon,WR,Central Florida,College Stats,Jun-00,187,4.44,35.5,18,125,6.81,4.27,New England Patriots / 7th / 242nd pick / 2021
Tre Norwood,DB,Oklahoma,College Stats,11-May,192,4.58,33.5,12,123,7.65,4.45,Pittsburgh Steelers / 7th / 245th pick / 2021
Antonio Nunn,WR,Buffalo,College Stats,11-May,204,4.5,33.5,15,120,7.12,4.32,
Dayo Odeyingbo,DL,Vanderbilt,College Stats,5-Jun,276,,,,,,,Indianapolis Colts / 2nd / 54th pick / 2021
Nick Oelrich,DB,Florida,College Stats,Jun-00,203,4.68,33.5,13,117,7.28,4.4,
Amen Ogbongbemiga,LB,Oklahoma St.,College Stats,Jun-00,231,4.66,32,24,112,7.32,4.28,
Adetokunbo Ogundeji,DL,Notre Dame,College Stats,4-Jun,260,4.75,32,22,120,7.17,4.64,Atlanta Falcons / 5th / 182nd pick / 2021
Azeez Ojulari,OLB,Georgia,College Stats,2-Jun,249,4.63,30,26,127,7.27,4.34,New York Giants / 2nd / 50th pick / 2021
Levi Onwuzurike,DL,Washington,College Stats,2-Jun,290,4.89,30,29,109,,,Detroit Lions / 2nd / 41st pick / 2021
Joseph Ossai,LB,Texas,College Stats,3-Jun,256,4.63,41.5,19,131,,,Cincinnati Bengals / 3rd / 69th pick / 2021
Jayson Oweh,DE,Penn St.,College Stats,5-Jun,257,4.36,39.5,21,134,6.83,4.21,Baltimore Ravens / 1st / 31st pick / 2021
Jeremiah Owusu-Koramoah,LB,Notre Dame,College Stats,1-Jun,221,,36.5,,124,6.8,4.15,Cleveland Browns / 2nd / 52nd pick / 2021
JR Pace,DB,Northwestern,College Stats,1-Jun,205,4.72,35.5,12,120,6.94,4.24,
AJ Parker,DB,Kansas St.,College Stats,11-May,182,4.53,33.5,10,117,7.02,4.37,
Micah Parsons,LB,Penn St.,College Stats,3-Jun,246,4.39,34,19,126,6.89,4.4,Dallas Cowboys / 1st / 12th pick / 2021
Jarrett Patterson,OL,Notre Dame,College Stats,6-May,195,4.52,,,,,,
Riley Patterson,K,Memphis,College Stats,10-May,181,,,,,,,
Jaret Patterson,RB,Buffalo,College Stats,6-May,195,4.59,30,19,117,7.03,4.35,
Kwity Paye,DL,Michigan,College Stats,2-Jun,261,4.52,35.3,36,118,,,Indianapolis Colts / 1st / 21st pick / 2021
Josh Pederson,TE,La-Monroe,College Stats,4-Jun,234,4.81,28.5,19,110,7.31,4.43,
Ronnie Perkins,DE,Oklahoma,College Stats,2-Jun,253,4.71,32,25,115,,4.69,New England Patriots / 3rd / 96th pick / 2021
Jordyn Peters,DB,Auburn,College Stats,Jun-00,202,4.7,39.5,7,124,7.14,4.47,
Jaelan Phillips,DL,Miami (FL),College Stats,5-Jun,260,4.56,36,21,125,,,Miami Dolphins / 1st / 18th pick / 2021
Whop Philyor,WR,Indiana,College Stats,9-May,184,4.57,31,14,120,7.2,4.34,
Nick Pickett,S,Oregon,College Stats,Jun-00,201,4.65,35.5,18,119,7.4,4.43,
Jason Pinnock,DB,Pittsburgh,College Stats,Jun-00,204,4.49,39.5,15,128,6.9,4.1,
Kyle Pitts,TE,Florida,College Stats,5-Jun,245,4.44,33.5,22,129,7.12,4.3,Atlanta Falcons / 1st / 4th pick / 2021
Kyle Poland,LS,West Virginia,College Stats,1-Jun,237,4.97,32.5,12,111,7.47,4.5,
Elijah Ponder,DT,Cincinnati,College Stats,1-Jun,268,5.06,30,27,101,7.45,4.53,
Cornell Powell,WR,Clemson,College Stats,Jun-00,204,4.53,36.5,16,128,7.03,4.21,Kansas City Chiefs / 5th / 181st pick / 2021
Blake Proehl,WR,East Carolina,College Stats,1-Jun,186,4.47,36,12,126,7,4.06,
Dillon Radunz,OT,North Dakota St.,,5-Jun,301,5.16,32,24,112,7.27,4.57,Tennessee Titans / 2nd / 53rd pick / 2021
Trey Ragas,RB,Louisiana,,10-May,214,4.6,33.5,23,117,7.19,4.5,
John Raine,TE,Northwestern,College Stats,1-Jun,231,5.05,31,15,107,7.32,4.54,
Peyton Ramsey,QB,Northwestern,College Stats,1-Jun,215,4.77,28,,108,7.28,4.41,
Hamilcar Rashed,OLB,Oregon St.,College Stats,2-Jun,251,4.58,35.5,25,128,7.51,4.44,
Jon Rhattigan,LB,Army,College Stats,Jun-00,236,4.77,32,22,111,7.41,4.3,
Monty Rice,LB,Georgia,College Stats,Jun-00,233,4.58,32,,121,7.34,4.33,Tennessee Titans / 3rd / 92nd pick / 2021
Curtis Robinson,LB,Stanford,College Stats,3-Jun,236,4.6,37.5,22,117,7,4.26,
Aaron Robinson,DB,Central Florida,College Stats,11-May,186,4.39,37,15,123,6.89,4.29,New York Giants / 3rd / 71st pick / 2021
Quincy Roche,DL,Miami (FL),College Stats,,,,32.5,23,119,,,Pittsburgh Steelers / 6th / 216th pick / 2021
Robert Rochell,DB,Central Arkansas,,11-May,193,4.41,43,9,133,6.84,4.08,Los Angeles Rams / 4th / 130th pick / 2021
Amari Rodgers,WR,Clemson,College Stats,9-May,212,4.52,33,19,121,7.07,4.31,Green Bay Packers / 3rd / 85th pick / 2021
Asim Rose,RB,Kentucky,College Stats,1-Jun,215,4.51,34,24,120,7.25,4.62,
Zach Von Rosenberg,P,LSU,College Stats,4-Jun,235,,,,,,,
Larry Rountree,RB,Missouri,College Stats,,,4.62,30,,,6.96,,Los Angeles Chargers / 6th / 198th pick / 2021
Gregory Rousseau,DL,Miami (FL),College Stats,6-Jun,266,4.68,30,21,115,,,Buffalo Bills / 1st / 30th pick / 2021
Dionte Ruffin,DB,Western Kentucky,College Stats,10-May,180,4.54,36.5,8,127,7.05,4.27,
Chris Rumph,DE,Duke,College Stats,2-Jun,244,,,18,,,,Los Angeles Chargers / 4th / 118th pick / 2021
K.J. Sails,DB,South Florida,College Stats,10-May,177,4.67,32.5,9,114,7.08,4.44,
Teton Saltes,OL,New Mexico,College Stats,4-Jun,300,5.04,30.5,22,105,7.76,4.64,
Cameron Sample,DE,Tulane,College Stats,2-Jun,267,4.72,37,23,116,7.39,4.48,
Foster Sarell,OL,Stanford,College Stats,6-Jun,318,5.54,27,26,97,7.63,4.69,
Mekhi Sargent,RB,Iowa,College Stats,8-May,208,4.62,33.5,,114,7.08,4.39,
Thomas Schaffer,DE,Stanford,College Stats,6-Jun,302,,,23,,,,
Ry Schneider,OL,Oklahoma St.,College Stats,2-Jun,312,5.67,23.5,26,85,8.51,5.37,
Anthony Schwartz,WR,Auburn,College Stats,Jun-00,186,4.27,32,,123,7.13,4.25,Cleveland Browns / 3rd / 91st pick / 2021
Jordon Scott,DT,Oregon,College Stats,Jun-00,311,,,23,,,,
Stevie Scott,RB,Indiana,College Stats,Jun-00,225,4.66,31,18,119,7.14,4.57,
Trey Sermon,RB,Ohio St.,College Stats,Jun-00,215,4.57,37,,125,6.83,4.28,San Francisco 49ers / 3rd / 88th pick / 2021
Penei Sewell,OL,Oregon,College Stats,4-Jun,331,5.13,28,30,109,7.76,4.68,Detroit Lions / 1st / 7th pick / 2021
Tyler Shelvin,DT,LSU,College Stats,2-Jun,350,5.4,28.5,,97,8.15,5.05,Cincinnati Bengals / 4th / 122nd pick / 2021
William Sherman,OL,Colorado,College Stats,3-Jun,304,5.19,26,23,108,7.71,4.82,New England Patriots / 6th / 197th pick / 2021
Jamien Sherwood,DB,Auburn,College Stats,1-Jun,216,4.76,36,15,123,7.15,4.36,New York Jets / 5th / 146th pick / 2021
Jacob Shoemaker,OL,South Alabama,College Stats,3-Jun,319,5.49,24,20,93,8.2,5.02,
George Silvanic,DT,Air Force,College Stats,5-Jun,286,5.21,29.5,,105,7.5,4.6,
Antjuan Simmons,LB,Michigan St.,College Stats,11-May,218,4.8,,,,,,
Ben Skowronek,WR,Notre Dame,College Stats,2-Jun,220,,,13,,,,
Rashawn Slater,OL,Northwestern,College Stats,4-Jun,304,4.91,33,33,112,7.48,4.45,Los Angeles Chargers / 1st / 13th pick / 2021
Tedarrell Slaton,DL,Florida,College Stats,4-Jun,330,5.09,29,27,109,7.91,4.81,Green Bay Packers / 5th / 173rd pick / 2021
Trystan Slinker,LB,Baylor,College Stats,10-May,234,4.84,30.5,20,119,7.59,4.63,
Shaq Smith,LB,Maryland,College Stats,2-Jun,237,4.79,30,22,110,7.34,4.3,
D'Ante Smith,OL,East Carolina,College Stats,5-Jun,305,5.29,29,24,113,7.96,4.81,
DAnte Smith,LB,Arizona,College Stats,5-Jun,305,5.29,29,24,113,7.96,4.81,
Brandon Smith,WR,Iowa,College Stats,1-Jun,218,4.62,39.5,,130,,,
Elerson Smith,DL,Northern Iowa,,,,4.71,41.5,26,127,7,4.39,New York Giants / 4th / 116th pick / 2021
Jordan Smith,OLB,Ala-Birmingham,College Stats,5-Jun,264,4.8,33,16,117,,,Jacksonville Jaguars / 4th / 121st pick / 2021
Zach Smith,QB,Tulsa,College Stats,3-Jun,222,5.23,29.5,,111,7.26,4.52,
Ihmir Smith-Marsette,WR,Iowa,College Stats,Jun-00,181,4.43,37,,124,7,4.2,Minnesota Vikings / 5th / 157th pick / 2021
Benjamin St-Juste,DB,Minnesota,College Stats,3-Jun,202,4.51,34.5,11,119,6.63,3.96,Washington Football Team / 3rd / 74th pick / 2021
Caden Sterns,DB,Texas,College Stats,11-May,202,4.41,42,14,128,6.96,4.13,Denver Broncos / 5th / 152nd pick / 2021
Jacoby Stevens,S,LSU,College Stats,1-Jun,212,4.63,42,,130,,,Philadelphia Eagles / 6th / 224th pick / 2021
Marquez Stevenson,WR,Houston,College Stats,10-May,180,4.48,33,,122,6.76,4.14,Buffalo Bills / 6th / 203rd pick / 2021
Rhamondre Stevenson,RB,Oklahoma,College Stats,11-May,231,4.64,31.5,15,112,7.09,4.15,New England Patriots / 4th / 120th pick / 2021
Brad Stewart,DB,Florida,College Stats,Jun-00,195,4.59,33.5,11,126,,4.44,
Darius Stills,DL,West Virginia,College Stats,Jun-00,278,4.98,32.5,23,110,7.18,4.49,
Donovan Stiner,DB,Florida,College Stats,1-Jun,205,4.56,34.5,15,127,7.08,4.3,
Eric Stokes,DB,Georgia,College Stats,Jun-00,194,4.31,38.5,14,128,6.96,4.36,Green Bay Packers / 1st / 29th pick / 2021
Mason Stokke,FB,Wisconsin,College Stats,2-Jun,242,4.96,30.5,22,112,7.2,4.34,
Jack Stoll,TE,Nebraska,College Stats,3-Jun,247,4.6,31.5,16,119,6.86,4.32,
Dillon Stoner,WR,Oklahoma St.,College Stats,Jun-00,194,4.51,37,16,123,6.96,4.13,
Eli Stove,WR,Auburn,College Stats,11-May,194,4.54,30.5,14,119,7.34,4.4,
Corey Straughter,CB,La-Monroe,College Stats,10-May,184,4.62,35,11,117,7.37,4.58,
Elijah Sullivan,LB,Kansas St.,College Stats,Jun-00,214,4.69,,13,115,7.12,4.31,
Chazz Surratt,LB,North Carolina,College Stats,2-Jun,229,4.58,31,25,,7.02,4.16,Minnesota Vikings / 3rd / 78th pick / 2021
Sage Surratt,WR,Wake Forest,College Stats,2-Jun,209,4.66,,18,,,4.25,
Patrick Surtain,DB,Alabama,College Stats,2-Jun,208,4.42,39,18,131,,,Denver Broncos / 1st / 9th pick / 2021
Jovan Swann,DL,Indiana,College Stats,2-Jun,291,4.9,30.5,34,109,7.74,4.75,
Tim Tanner-Blair,OL,Bowling Green,College Stats,3-Jun,288,5.59,21,32,93,8.06,4.95,
Keith Taylor,DB,Washington,College Stats,2-Jun,187,4.54,33.5,12,127,6.85,4.26,Carolina Panthers / 5th / 166th pick / 2021
Tamorrion Terry,WR,Florida St.,College Stats,2-Jun,207,4.44,32.5,15,126,7,4.53,
Kiondre Thomas,DB,Kansas St.,College Stats,11-May,186,4.44,37.5,10,122,6.94,4.35,
Ambry Thomas,DB,Michigan,College Stats,11-May,191,4.37,38,15,122,,,San Francisco 49ers / 3rd / 102nd pick / 2021
Zac Thomas,QB,Appalachian St.,College Stats,Jun-00,205,4.59,30,,115,7.06,4.28,
Tyree Thompson,LB,Buffalo,College Stats,1-Jun,229,5,31,18,109,7.87,4.96,
Kevin Thomson,QB,Washington,College Stats,Jun-00,198,4.75,35.5,21,126,6.98,4.23,
Tommy Togiai,DT,Ohio St.,College Stats,1-Jun,296,4.97,32,40,105,7.2,4.49,Cleveland Browns / 4th / 132nd pick / 2021
Jet Toner,K,Stanford,College Stats,2-Jun,204,,,,,,,
Kadarius Toney,WR,Florida,College Stats,11-May,193,4.39,39.5,9,136,6.88,4.25,New York Giants / 1st / 20th pick / 2021
Shaka Toney,DE,Penn St.,College Stats,2-Jun,242,4.51,39,24,128,6.95,4.28,Washington Football Team / 7th / 246th pick / 2021
Khyiris Tonga,DL,BYU,College Stats,,,,,35,,,,Chicago Bears / 7th / 250th pick / 2021
Kyle Trask,QB,Florida,College Stats,5-Jun,236,5.1,31.5,,113,7.08,4.6,Tampa Bay Buccaneers / 2nd / 64th pick / 2021
Tommy Tremble,TE,Notre Dame,College Stats,3-Jun,241,4.6,36.5,20,122,,,Carolina Panthers / 3rd / 83rd pick / 2021
Harry Trotter,RB,Kansas St.,College Stats,8-May,207,4.63,32.5,22,112,,,
Joe Tryon,OLB,Washington,College Stats,5-Jun,259,4.69,35,22,116,7.18,4.36,Tampa Bay Buccaneers / 1st / 32nd pick / 2021
Israel Tucker,RB,Louisiana Tech,College Stats,7-May,194,4.6,38.5,20,123,7.25,4.52,
Carl Tucker,TE,Alabama,College Stats,,,,,,,,,
Ethan Tucky,LB,Cincinnati,College Stats,1-Jun,231,4.62,31.5,21,115,7.08,4.3,
Jay Tufele,DL,USC,College Stats,2-Jun,305,5,30,30,105,7.8,4.88,Jacksonville Jaguars / 4th / 106th pick / 2021
Syrus Tuitele,OL,Fresno St.,College Stats,5-Jun,311,5.21,26,36,94,8.25,4.89,
Payton Turner,DL,Houston,College Stats,5-Jun,268,,35.5,23,,6.98,4.33,New Orleans Saints / 1st / 28th pick / 2021
Christian Tutt,DB,Auburn,College Stats,10-May,180,4.73,29.5,,110,7.22,4.25,
Jaylen Twyman,DL,Pittsburgh,College Stats,1-Jun,301,5.4,32.5,40,104,8,,Minnesota Vikings / 6th / 199th pick / 2021
Evan Tyler,S,Boise St.,College Stats,1-Jun,199,4.58,33,13,117,7.14,4.32,
Tyler Vaughns,WR,USC,College Stats,1-Jun,190,4.62,31.5,7,120,7.13,4.36,
Alijah Vera-Tucker,OL,USC,College Stats,4-Jun,308,5.05,32,36,106,7.67,4.7,New York Jets / 1st / 14th pick / 2021
Gunnar Vogel,OL,Northwestern,College Stats,6-Jun,306,5.47,26,23,105,7.67,4.92,
Lamont Wade,S,Penn St.,College Stats,9-May,190,4.47,35.5,16,118,7.14,4.34,
Shaun Wade,CB,Ohio St.,College Stats,Jun-00,196,,,,,,,Baltimore Ravens / 5th / 160th pick / 2021
Tre Walker,WR,San Jose St.,College Stats,10-May,178,4.58,28,,113,7.75,4.47,
Tylan Wallace,WR,Oklahoma St.,College Stats,11-May,194,4.48,33,11,112,6.97,4.25,Baltimore Ravens / 4th / 131st pick / 2021
Garret Wallow,LB,TCU,College Stats,,,4.65,32.5,22,122,6.87,4.12,Houston Texans / 5th / 170th pick / 2021
Ar'Darius Washington,S,TCU,College Stats,7-May,178,4.61,37.5,17,127,7.06,4.1,
Jamar Watson,OLB,Kentucky,College Stats,1-Jun,241,4.78,30,19,,7.31,4.58,
Rashad Weaver,DL,Pittsburgh,College Stats,4-Jun,259,4.88,32,20,114,6.97,4.26,Tennessee Titans / 4th / 135th pick / 2021
Mark Webb,DB,Georgia,College Stats,1-Jun,207,4.61,36.5,,136,7.3,4.52,Los Angeles Chargers / 7th / 241st pick / 2021
Connor Wedington,WR,Stanford,College Stats,Jun-00,196,4.47,38.5,13,117,6.66,4.07,
Coby Weiss,K,South Florida,College Stats,8-May,155,,,,,,,
Pro Wells,TE,TCU,College Stats,,,,,,,,,
Pete Werner,LB,Ohio St.,College Stats,2-Jun,238,4.58,39.5,20,122,6.95,4.38,New Orleans Saints / 2nd / 60th pick / 2021
Devon Wharton,DE,Western Kentucky,College Stats,2-Jun,215,5.1,30.5,4,115,8.12,4.7,
Jarell White,LB,Cincinnati,College Stats,8-May,202,4.58,35,22,125,7.21,4.35,
Brendon White,DB,Rutgers,College Stats,1-Jun,215,4.66,34.5,19,112,6.82,4.33,
Brady White,QB,Memphis,College Stats,1-Jun,210,4.84,29,,,6.97,4.33,
Haydon Whitehead,P,Indiana,College Stats,2-Jun,202,,,,,,,
James Wiggins,S,Cincinnati,College Stats,11-May,209,4.4,38,22,127,,,Arizona Cardinals / 7th / 243rd pick / 2021
Rachad Wildgoose,CB,Wisconsin,College Stats,11-May,197,4.53,36,11,120,7.09,4.18,Buffalo Bills / 6th / 213th pick / 2021
Drew Wiley,DT,Kansas St.,College Stats,4-Jun,294,5.24,34,24,112,7.34,4.45,
Adam Williams,P,Memphis,College Stats,4-Jun,226,,,,,,,
Carson Williams,OL,Arkansas St.,College Stats,4-Jun,254,4.79,38,18,115,,,
Avery Williams,CB,Boise St.,College Stats,8-May,187,4.43,33.5,19,121,6.88,4,Atlanta Falcons / 5th / 183rd pick / 2021
Javonte Williams,RB,North Carolina,College Stats,9-May,212,4.55,36,22,123,6.97,4.09,Denver Broncos / 2nd / 35th pick / 2021
Marlon Williams,WR,Central Florida,College Stats,11-May,209,4.63,33.5,14,119,,4.57,
Milton Williams,DL,Louisiana Tech,College Stats,3-Jun,284,4.67,38.5,34,121,6.96,4.33,Philadelphia Eagles / 3rd / 73rd pick / 2021
Pooka Williams,RB,Kansas,College Stats,9-May,170,4.46,31.5,4,118,7.03,4.26,
Rodarius Williams,CB,Oklahoma St.,College Stats,11-May,189,4.5,36.5,14,123,6.98,4.15,New York Giants / 6th / 201st pick / 2021
Seth Williams,WR,Auburn,College Stats,3-Jun,211,4.49,37,12,124,7.2,4.43,Denver Broncos / 6th / 219th pick / 2021
Trill Williams,CB,Syracuse,College Stats,2-Jun,208,,36,20,123,,,
Marco Wilson,CB,Florida,College Stats,11-May,191,4.37,43.5,26,136,6.8,4.13,Arizona Cardinals / 4th / 136th pick / 2021
Marvin Wilson,DT,Florida St.,College Stats,3-Jun,303,5.12,25.5,23,107,7.64,4.91,
Zach Wilson,QB,BYU,College Stats,2-Jun,214,,,,,,,New York Jets / 1st / 2nd pick / 2021
Brock Wright,TE,Notre Dame,College Stats,4-Jun,257,4.62,31.5,26,118,7.27,4.25,
Nahshon Wright,DB,Oregon St.,College Stats,4-Jun,183,4.46,31,6,126,7.24,4.57,Dallas Cowboys / 3rd / 99th pick / 2021
Kenny Yeboah,TE,Mississippi,College Stats,3-Jun,250,,34,,116,,,
Devonte Young,DB,Iowa,College Stats,11-May,195,4.7,32,,118,7.41,4.38,
Landon Young,OT,Kentucky,College Stats,6-Jun,310,5,30.5,34,108,7.7,4.89,New Orleans Saints / 6th / 206th pick / 2021